	candid_surname	candid_name	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
20	Beckelová	Marcela	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	7		51	NK	BEZPP	36	14,81	3	*	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	4		55	NK	BEZPP	42	11,57	5	*
1	Bechynì	Ivo	1994	1	Sdružení nezávislých kandidátù	4	47	NK	BEZPP	36	13.23	6	*	NA	1998	3	Sdruž.nezáv.kand.-míst.celkem	4	NA	51	NK	BEZPP	34	22.22	3	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	Bubík	Lešek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	2	Ing.	51	NK	BEZPP	27	16,07	1	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	Èapek	Miloslav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	4		62	NK	BEZPP	33	13,58	1	-	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	3		65	NK	BEZPP	43	11,84	4	*
23	Èerný	Jiøí	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	7		40	NK	BEZPP	14	8,33	5	-	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	9		44	NK	BEZPP	13	3,58	2	-
36	Drozd	Jan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	5	Ing.	34	NK	BEZPP	55	15,15	3	*
24	Faix	Stanislav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	1		48	NK	BEZPP	37	15,22	2	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	Fuksa	Milan	1994	1	Sdružení nezávislých kandidátù	5	47	NK	BEZPP	34	12.5	7	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	Fuksová	Jana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Sdruž.nezáv.kand. Doubice 2006	4		47	NK	BEZPP	46	15.38	1	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	Hamáèek	Jiøí	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	5		54	NK	BEZPP	38	22,61	1	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
