source	target	weight
Rudolf Lipman	Jaroslav Obešlo	3
Jaroslav Obešlo	Rudolf Lipman	3
Jaroslav Obešlo	Karel Rezek	3
Karel Rezek	Jaroslav Obešlo	3
Ivo Bechynì	Waldemar Kunert	2
Ivo Bechynì	Josef Sakaloš	2
Ivo Bechynì	Božena Stejskalová	2
Waldemar Kunert	Ivo Bechynì	2
Waldemar Kunert	Josef Sakaloš	2
Waldemar Kunert	Božena Stejskalová	2
Rudolf Lipman	Karel Rezek	2
Jaroslav Obešlo	Božena Stejskalová	2
Josef Sakaloš	Ivo Bechynì	2
Josef Sakaloš	Waldemar Kunert	2
Josef Sakaloš	Božena Stejskalová	2
Božena Stejskalová	Ivo Bechynì	2
Božena Stejskalová	Waldemar Kunert	2
Božena Stejskalová	Jaroslav Obešlo	2
Božena Stejskalová	Josef Sakaloš	2
Božena Stejskalová	Rudolf Lipmann	2
Rudolf Lipmann	Božena Stejskalová	2
Karel Rezek	Rudolf Lipman	2
Marcela Beckelová	Miloslav Èapek	2
Marcela Beckelová	Bøetislav Jemelka	2
Marcela Beckelová	Miloslav Pitner	2
Miloslav Èapek	Marcela Beckelová	2
Miloslav Èapek	Bøetislav Jemelka	2
Miloslav Èapek	Miloslav Pitner	2
Jiøí Èerný	Martin Schulz	2
Bøetislav Jemelka	Marcela Beckelová	2
Bøetislav Jemelka	Miloslav Èapek	2
Bøetislav Jemelka	Miloslav Pitner	2
Miloslav Pitner	Marcela Beckelová	2
Miloslav Pitner	Miloslav Èapek	2
Miloslav Pitner	Bøetislav Jemelka	2
Martin Schulz	Jiøí Èerný	2
Ivo Bechynì	Milan Fuksa	1
Ivo Bechynì	Rudolf Lipman	1
Ivo Bechynì	Jaroslav Obešlo	1
Ivo Bechynì	Rudolf Lipmann	1
Milan Fuksa	Ivo Bechynì	1
Milan Fuksa	Waldemar Kunert	1
Milan Fuksa	Rudolf Lipman	1
Milan Fuksa	Jaroslav Obešlo	1
Milan Fuksa	Josef Sakaloš	1
Milan Fuksa	Božena Stejskalová	1
