candid_name	candid_surname	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
Alena	äkopkov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	9		30	NK	BEZPP	9	3.57	8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alois	StanÏk	1994	4	Komunistick· str.»ech a Moravy	9		55	KS»M	KS»M	53	7.72	7		1998	4	Komunistick· str.»ech a Moravy	6		59	KS»M	KS»M	38	6.83	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dana	Bedna¯Ìkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	K¯esù.demokr.unie-»s.str.lid.	5		41	KDU-»SL	BEZPP	27	5,34	3	-
Dana	Kolafov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	TOP 09	8		56	TOP 09	BEZPP	42	4,36	4	-
Frantiöek	Beneö	1994	4	Komunistick· str.»ech a Moravy	1		44	KS»M	KS»M	104	15.16	2	*	1998	4	Komunistick· str.»ech a Moravy	8		48	KS»M	KS»M	94	16.9	1		2002	2	Komunistick· str.»ech a Moravy	3		52	KS»M	KS»M	98	21.63	1		2006	2	Komunistick· str.»ech a Moravy	5		56	KS»M	BEZPP	87	24,43	1	-	2010	1	Komunistick· str.»ech a Moravy	6		60	KS»M	BEZPP	70	18,08	5	-
Frantiöek	Kunc	1994	1	ObËansk· demokratick· strana	3	Ing.†	42	ODS	BEZPP	138	12.4	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gabriela	Smolov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2	Komunistick· str.»ech a Moravy	8		27	KS»M	BEZPP	11	2.42	8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gertruda	Ungerov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	7		55	NK	BEZPP	14	5.55	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hana	Hoökov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	2		31	NK	BEZPP	14	5.55	3		1998	3	Sdruû.nez·v.kand.-mÌst.celkem	3		35	NK	NEZ	10	4.56	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hana	SvÌtiv·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	4	Sdruû.nez·v.kand. Malenice	3		28	NK	BEZPP	33	8,41	5	-
Helena	»umrov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	1		38	NK	BEZPP	44	17.46	1		1998	3	Sdruû.nez·v.kand.-mÌst.celkem	1		42	NK	NEZ	44	20.9	1		2002	5	SNK - MalenickÈ ûeny	3		46	NK	BEZPP	38	25.85	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Helena	P¯Ìlepkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	4	ObËansk· demokratick· strana	3		49	ODS	BEZPP	51	7.99	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	8		57	ODS	BEZPP	58	13,97	2	-
