;František Beneš;Josef Frk;Milan Smola;Jiří Furbach;Miroslav Jeřábek;Ladislav Kříž;Václav Smíšek;Josef Blahovec;Jan Staněk;Josef Bednařík;Jiří Maroušek;Jana Slepičková;Helena Čumrová;Petra Hošková;Irena Sládková;Karel Dolanský;Marcela Rolníková;Vlastimil Koreš;Jaroslav Mráz 1;Jiří Mráz;Jana Svítivá;Václav Štětina;Vladimír Martínek;Alois Staněk;Oldřich Hamtil;Jana Lukešová;Jiří Maršák;Zdeněk Šleis;Marie Taliánová;Vladimír Zatloukal;Jaroslava Brabcová;Renáta Fürbachová;Hana Hošková;Zdena Houzimová;Marie Jeřábková;Václav Frnoch;Miroslav Kotous;Jarmila Vaňatová;Pavel Frnoch;Josef Narovec;Silvie Přílepková;Silvie Havlátková;Ludmila Maroušková;Jaroslava Holečková;Petra Lusková;Helena Přílepková;Jan Houzim;Petr Jirotka;Jiří Liška;Dana Bednaříková;Jan Franc;Jakub Komrska;Jiří Kovář;Zdeňka Kůsová;Jana Mindlová;Jindřich Hrabák;Jan Lazar;Gabriela Smolová;Jana Dejmková;Hubert Faber;Marie Frnochová;Milada Kochtová;Dana Kolafová;Jaromír Louda;Jiří Pilný;Miloslava Pravdová;Kateřina Čumrová;Jindřich Jindřich;Zdeňka Kotousová;Jana Mottlová;Jaroslav Mráz 2;Yveta Sládková;Jana Smíšková;Marek Švehla;Věra Faberová;Alena Škopková;Gertruda Ungerová;Václav Dejmek;Iveta Frková;Lenka Frnochová;Tomáš Kohlberger;Jaroslav Neužil;Jiří Tadeáš Pelech;Hana Svítivá;Jaroslav Frk;Jiří Krajánek;František Kunc;Petr Lusk;Jan Kolafa;Štěpán Hais;Lenka Mrázová;Martina Šleisová;Oto Švehla;Luboš Šrámek;Petra Mrázová;Pavel Kuhn
František Beneš;0;5.0;5.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josef Frk;5.0;0;5.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Milan Smola;5.0;5.0;0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jiří Furbach;4.0;4.0;4.0;0;4.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miroslav Jeřábek;4.0;4.0;4.0;4.0;0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ladislav Kříž;4.0;4.0;4.0;3.0;3.0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Václav Smíšek;4.0;4.0;4.0;3.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josef Blahovec;0;0;0;0;0;0;0;0;4.0;2.0;3.0;3.0;0;0;0;1.0;1.0;2.0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;2.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jan Staněk;0;0;0;0;0;0;0;4.0;0;2.0;3.0;3.0;0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josef Bednařík;0;0;0;0;0;0;0;2.0;2.0;0;3.0;3.0;0;0;0;0;0;2.0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
