v1	_komunistickstrechamoravy	_kesademuniesstrlidov	_nezvislkandidti	_obanskdemokratickstrana	_sdruennezvislchkandidt	v7	_kesdemokruniesstrlid	v9	_sdrunezvkandmstcelkem	v11	v12	v13	v14	_snkmalenickeny	v16	v17	v18	v19	v20	v21	_sdrunezvkandmalenice	_top09	d1	d2
"Alois Stanìk"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.8851766	.0381226
"František Beneš"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2.042191	.1182617
"Jindøich Hrabák"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4376468	.0083916
"Jiøí Furbach"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1.729457	.0962072
"Josef Frk"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2.042191	.1182617
"Ladislav Køíž"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1.594661	.0885306
"Milan Smola"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2.042191	.1182617
"Miroslav Jeøábek"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1.729457	.0962072
"Václav Smíšek"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1.669881	.0920738
"Hubert Faber"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.0921876	-.331591
"Jan Stanìk"	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	-.3056046	-1.456504
"Jana Dejmková"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.0921876	-.331591
"Jana Lukešová"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.155073	-.6805714
"Jiøí Maroušek"	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	-.2911471	-1.36719
"Jiøí Maršák"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-.1684655	-.6863081
"Jiøí Pilný"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.0921876	-.331591
"Josef Blahovec"	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	-.3743142	-1.540872
"Marie Taliánová"	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-.1664413	-.7528062
"Pavel Kuhn"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.0355058	-.024515
"František Kunc"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1073116	-.0069784
"Jana Svítivá"	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	-.5559881	.8358611
"Jarmila Vaòatová"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1725231	-.0151107
"Jaroslav Frk"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1073116	-.0069784
"Jaroslav Mráz 1"	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-.2586837	.0815964
"Karel Dolanský"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-.2412328	-.099479
"Marcela Rolníková"	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-.3273933	-.0027719
"Miroslav Kotous"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-.248801	-.3698278
"Václav Frnoch"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1725231	-.0151107
"Alena Škopková"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1186062	.2016392
"Gertruda Ungerová"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1186062	.2016392
"Hana Hošková"	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-.324666	.7114827
"Helena Èumrová"	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	-.4003734	.9087299
"Irena Sládková"	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	-.4003734	.9087299
"Marie Jeøábková"	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-.324666	.7114827
"Petra Hošková"	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	-.4003734	.9087299
"Vìra Faberová"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.1186062	.2016392
"Zdena Houzimová"	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-.324666	.7114827
"Jan Lazar"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4132064	.0062259
"Vladimír Martínek"	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	.8851766	.0381226
"Jana Slepièková"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	-.2961684	-1.408084
"Jaromír Louda"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.0972089	-.3724855
"Milada Kochtová"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.0972089	-.3724855
"Oldøich Hamtil"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-.1714626	-.7937008
"Vlastimil Koreš"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-.2198905	-1.053367
"Zdenìk Šleis"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-.1714626	-.7937008
"Jaroslava Holeèková"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-.2551575	.1688918
