source,target,weight
František Beneš,Josef Frk,5
František Beneš,Milan Smola,5
Josef Frk,František Beneš,5
Josef Frk,Milan Smola,5
Milan Smola,František Beneš,5
Milan Smola,Josef Frk,5
František Beneš,Jiøí Furbach,4
František Beneš,Miroslav Jeøábek,4
František Beneš,Ladislav Køíž,4
František Beneš,Václav Smíšek,4
Josef Blahovec,Jan Stanìk,4
Josef Frk,Jiøí Furbach,4
Josef Frk,Miroslav Jeøábek,4
Josef Frk,Ladislav Køíž,4
Josef Frk,Václav Smíšek,4
Jiøí Furbach,František Beneš,4
Jiøí Furbach,Josef Frk,4
Jiøí Furbach,Miroslav Jeøábek,4
Jiøí Furbach,Milan Smola,4
Miroslav Jeøábek,František Beneš,4
Miroslav Jeøábek,Josef Frk,4
Miroslav Jeøábek,Jiøí Furbach,4
Miroslav Jeøábek,Milan Smola,4
Ladislav Køíž,František Beneš,4
Ladislav Køíž,Josef Frk,4
Ladislav Køíž,Milan Smola,4
Václav Smíšek,František Beneš,4
Václav Smíšek,Josef Frk,4
Václav Smíšek,Milan Smola,4
Milan Smola,Jiøí Furbach,4
Milan Smola,Miroslav Jeøábek,4
Milan Smola,Ladislav Køíž,4
Milan Smola,Václav Smíšek,4
Jan Stanìk,Josef Blahovec,4
Josef Bednaøík,Jiøí Maroušek,3
Josef Bednaøík,Jana Slepièková,3
Josef Blahovec,Jiøí Maroušek,3
Josef Blahovec,Jana Slepièková,3
Helena Èumrová,Petra Hošková,3
Helena Èumrová,Irena Sládková,3
Karel Dolanský,Marcela Rolníková,3
Jiøí Furbach,Ladislav Køíž,3
Jiøí Furbach,Václav Smíšek,3
Petra Hošková,Helena Èumrová,3
Petra Hošková,Irena Sládková,3
Miroslav Jeøábek,Ladislav Køíž,3
Miroslav Jeøábek,Václav Smíšek,3
Vlastimil Koreš,Jana Slepièková,3
Ladislav Køíž,Jiøí Furbach,3
Ladislav Køíž,Miroslav Jeøábek,3
Ladislav Køíž,Václav Smíšek,3
Jiøí Maroušek,Josef Bednaøík,3
Jiøí Maroušek,Josef Blahovec,3
Jiøí Maroušek,Jana Slepièková,3
Jiøí Maroušek,Jan Stanìk,3
Jaroslav Mráz 1,Marcela Rolníková,3
Jiøí Mráz,Jana Svítivá,3
Marcela Rolníková,Karel Dolanský,3
Marcela Rolníková,Jaroslav Mráz 1,3
Irena Sládková,Helena Èumrová,3
Irena Sládková,Petra Hošková,3
Jana Slepièková,Josef Bednaøík,3
Jana Slepièková,Josef Blahovec,3
Jana Slepièková,Vlastimil Koreš,3
Jana Slepièková,Jiøí Maroušek,3
Jana Slepièková,Jan Stanìk,3
Václav Smíšek,Jiøí Furbach,3
Václav Smíšek,Miroslav Jeøábek,3
Václav Smíšek,Ladislav Køíž,3
Jan Stanìk,Jiøí Maroušek,3
Jan Stanìk,Jana Slepièková,3
Jana Svítivá,Jiøí Mráz,3
