source	target	weight
Antonín Mašek	Jiøí Øíha	4
Jiøí Øíha	Antonín Mašek	4
Josef Švarc	Pavel Švec	4
Pavel Švec	Josef Švarc	4
Emanuel Papírník	Josef Švarc	3
Emanuel Papírník	Marie Ebrová	3
Emanuel Papírník	Pavel Švec	3
Jan Vichra	Jiøí Øíha	3
Jan Vichra	Karel Brych	3
Jiøí Øíha	Jan Vichra	3
Jiøí Øíha	Karel Brych	3
Josef Švarc	Emanuel Papírník	3
Josef Švarc	Marie Ebrová	3
Josef Švarc	Zdenìk Procházka	3
Karel Brych	Jan Vichra	3
Karel Brych	Jiøí Øíha	3
Marie Ebrová	Emanuel Papírník	3
Marie Ebrová	Josef Švarc	3
Marie Ebrová	Pavel Švec	3
Pavel Švec	Emanuel Papírník	3
Pavel Švec	Marie Ebrová	3
Pavel Švec	Zdenìk Procházka	3
Zdenìk Procházka	Josef Švarc	3
Zdenìk Procházka	Pavel Švec	3
Antonín Mašek	Iveta Vojtìchová	2
Antonín Mašek	Jan Vichra	2
Antonín Mašek	Karel Brych	2
Antonín Mašek	Karel Kubovec	2
Antonín Mašek	Miroslav Valenta	2
Antonín Mašek	Václav Fryè	2
Augusta Koubová	Hana Kamenárová	2
Augusta Koubová	Josef Švarc	2
Augusta Koubová	Pavel Švec	2
Augusta Koubová	Zdenìk Procházka	2
Bohuslav Krásný	Emanuel Papírník	2
Bohuslav Krásný	Josef Švarc	2
Bohuslav Krásný	Marie Ebrová	2
Bohuslav Krásný	Pavel Švec	2
Bohuslav Krásný	Zdenìk Procházka	2
Emanuel Papírník	Bohuslav Krásný	2
Emanuel Papírník	Jiøí Kastner	2
Emanuel Papírník	Václav Kouba	2
Emanuel Papírník	Zdenìk Procházka	2
Hana Kamenárová	Augusta Koubová	2
Hana Kamenárová	Josef Švarc	2
Hana Kamenárová	Pavel Švec	2
Hana Kamenárová	Zdenìk Procházka	2
Iveta Vojtìchová	Antonín Mašek	2
Iveta Vojtìchová	Jiøí Øíha	2
Iveta Vojtìchová	Karel Kubovec	2
Iveta Vojtìchová	Václav Fryè	2
Jan Vichra	Antonín Mašek	2
Jan Vichra	Lubomír Kacálek	2
Jan Vichra	Miroslav Valenta	2
Jan Vichra	Václav Kalina	2
Jiøí Kastner	Emanuel Papírník	2
Jiøí Kastner	Josef Švarc	2
Jiøí Kastner	Marie Ebrová	2
Jiøí Kastner	Pavel Švec	2
Jiøí Kastner	Václav Kouba	2
Jiøí Øíha	Iveta Vojtìchová	2
Jiøí Øíha	Karel Kubovec	2
Jiøí Øíha	Lubomír Kacálek	2
Jiøí Øíha	Miroslav Valenta	2
Jiøí Øíha	Václav Fryè	2
Jiøí Øíha	Václav Kalina	2
Josef Švarc	Augusta Koubová	2
Josef Švarc	Bohuslav Krásný	2
Josef Švarc	Hana Kamenárová	2
