source	target	weight
Jana Kuèerová	Jan Lafata	5
Jan Lafata	Jana Kuèerová	5
Jana Kuèerová	Marie Šíslová	4
Jan Lafata	Marie Šíslová	4
Marie Šíslová	Jana Kuèerová	4
Marie Šíslová	Jan Lafata	4
Jana Kuèerová	Pavel Vanìèek	3
Jan Lafata	Pavel Vanìèek	3
František Marek	Jiøí Novák	3
Jiøí Novák	František Marek	3
Marie Šíslová	Pavel Vanìèek	3
Pavel Vanìèek	Jana Kuèerová	3
Pavel Vanìèek	Jan Lafata	3
Pavel Vanìèek	Marie Šíslová	3
Anna Kubová	František Marek	2
Anna Kubová	Jiøí Novák	2
Anna Kubová	Dana Zádìrová	2
Anna Kubová	Luboš Kašpar	2
Anna Kubová	Hana Pivoòková	2
Anna Kubová	Petr Vršeckı	2
Jana Kuèerová	František Marek	2
Jana Kuèerová	Václav Pártl	2
Jana Kuèerová	Jaroslava Pivoòková	2
Jana Kuèerová	Zdenìk Vlèek	2
Jana Kuèerová	Iveta Vršecká	2
Jan Lafata	František Marek	2
Jan Lafata	Václav Pártl	2
Jan Lafata	Jaroslava Pivoòková	2
Jan Lafata	Zdenìk Vlèek	2
Jan Lafata	Iveta Vršecká	2
František Marek	Anna Kubová	2
František Marek	Jana Kuèerová	2
František Marek	Jan Lafata	2
František Marek	Marie Šíslová	2
František Marek	Dana Zádìrová	2
František Marek	Luboš Kašpar	2
František Marek	Hana Pivoòková	2
František Marek	Petr Vršeckı	2
Václav Pártl	Jana Kuèerová	2
Václav Pártl	Jan Lafata	2
Václav Pártl	Jiøí Novák	2
Václav Pártl	Pavel Vanìèek	2
Václav Rybáèek	Michal Hronek	2
Václav Rybáèek	Milan Synáèek	2
Václav Rybáèek	Emil Velièka	2
Jiøí Novák	Anna Kubová	2
Jiøí Novák	Václav Pártl	2
Jiøí Novák	Pavel Vanìèek	2
Jiøí Novák	Dana Zádìrová	2
Jiøí Novák	Luboš Kašpar	2
Jiøí Novák	Hana Pivoòková	2
Jiøí Novák	Petr Vršeckı	2
Vlastimil Svoboda	Markéta Èíková	2
Vlastimil Svoboda	Václav Frank	2
Vlastimil Svoboda	Jarmila Rybáèková	2
Vlastimil Svoboda	Jan Štìpka	2
Marie Šíslová	František Marek	2
Marie Šíslová	Jaroslava Pivoòková	2
Marie Šíslová	Zdenìk Vlèek	2
Marie Šíslová	Iveta Vršecká	2
Pavel Vanìèek	Václav Pártl	2
Pavel Vanìèek	Jiøí Novák	2
Pavel Vanìèek	Jaroslava Pivoòková	2
Pavel Vanìèek	Zdenìk Vlèek	2
Pavel Vanìèek	Iveta Vršecká	2
Dana Zádìrová	Anna Kubová	2
Dana Zádìrová	František Marek	2
Dana Zádìrová	Jiøí Novák	2
Michal Hronek	Václav Rybáèek	2
Michal Hronek	Milan Synáèek	2
Michal Hronek	Emil Velièka	2
Adam Krejèí	Miloslava Dolejší	2
Adam Krejèí	Pavla Kašparová	2
Adam Krejèí	Zdenìk Lechner	2
Adam Krejèí	Martina Lišková	2
Adam Krejèí	Petr Pivoòka	2
Adam Krejèí	Radek Vlèek	2
Milan Synáèek	Václav Rybáèek	2
Milan Synáèek	Michal Hronek	2
Milan Synáèek	Emil Velièka	2
Emil Velièka	Václav Rybáèek	2
Emil Velièka	Michal Hronek	2
Emil Velièka	Milan Synáèek	2
Markéta Èíková	Vlastimil Svoboda	2
Markéta Èíková	Václav Frank	2
Markéta Èíková	Jarmila Rybáèková	2
Markéta Èíková	Jan Štìpka	2
Miloslava Dolejší	Adam Krejèí	2
Miloslava Dolejší	Pavla Kašparová	2
Miloslava Dolejší	Zdenìk Lechner	2
Miloslava Dolejší	Martina Lišková	2
Miloslava Dolejší	Petr Pivoòka	2
Miloslava Dolejší	Radek Vlèek	2
Václav Frank	Vlastimil Svoboda	2
Václav Frank	Markéta Èíková	2
Václav Frank	Jarmila Rybáèková	2
Václav Frank	Jan Štìpka	2
Luboš Kašpar	Anna Kubová	2
Luboš Kašpar	František Marek	2
Luboš Kašpar	Jiøí Novák	2
Luboš Kašpar	Hana Pivoòková	2
Luboš Kašpar	Petr Vršeckı	2
Pavla Kašparová	Adam Krejèí	2
Pavla Kašparová	Miloslava Dolejší	2
Pavla Kašparová	Zdenìk Lechner	2
Pavla Kašparová	Martina Lišková	2
Pavla Kašparová	Petr Pivoòka	2
Pavla Kašparová	Radek Vlèek	2
Zdenìk Lechner	Adam Krejèí	2
Zdenìk Lechner	Miloslava Dolejší	2
Zdenìk Lechner	Pavla Kašparová	2
Zdenìk Lechner	Martina Lišková	2
Zdenìk Lechner	Petr Pivoòka	2
Zdenìk Lechner	Radek Vlèek	2
Martina Lišková	Adam Krejèí	2
Martina Lišková	Miloslava Dolejší	2
Martina Lišková	Pavla Kašparová	2
Martina Lišková	Zdenìk Lechner	2
Martina Lišková	Petr Pivoòka	2
Martina Lišková	Radek Vlèek	2
Petr Pivoòka	Adam Krejèí	2
Petr Pivoòka	Miloslava Dolejší	2
Petr Pivoòka	Pavla Kašparová	2
Petr Pivoòka	Zdenìk Lechner	2
Petr Pivoòka	Martina Lišková	2
Petr Pivoòka	Radek Vlèek	2
Hana Pivoòková	Anna Kubová	2
Hana Pivoòková	František Marek	2
Hana Pivoòková	Jiøí Novák	2
Hana Pivoòková	Luboš Kašpar	2
Hana Pivoòková	Petr Vršeckı	2
Jaroslava Pivoòková	Jana Kuèerová	2
Jaroslava Pivoòková	Jan Lafata	2
Jaroslava Pivoòková	Marie Šíslová	2
Jaroslava Pivoòková	Pavel Vanìèek	2
Jaroslava Pivoòková	Zdenìk Vlèek	2
